"","DATES","name","Elec_conso","temp"
"1",2010-01-01,"ANNEE 2010",4374.12073223215,26.805939
"2",2010-01-02,"ANNEE 2010",4524.57634824815,27.162445
"3",2010-01-03,"ANNEE 2010",4971.86076982774,26.881683
"4",2010-01-04,"ANNEE 2010",4977.07202831292,26.422241
"5",2010-01-05,"ANNEE 2010",4945.26198046172,26.601135
"6",2010-01-06,"ANNEE 2010",4978.40282888748,27.048279
"7",2010-01-07,"ANNEE 2010",4427.97196889346,27.355835
"8",2010-01-08,"ANNEE 2010",4198.83785726202,27.759552
"9",2010-01-09,"ANNEE 2010",4673.8499002244,27.682465
"10",2010-01-10,"ANNEE 2010",4670.37885919641,27.609528
"11",2010-01-11,"ANNEE 2010",4789.18647190176,27.99936
"12",2010-01-12,"ANNEE 2010",5024.66302250675,27.922241
"13",2010-01-13,"ANNEE 2010",4708.76306188592,28.265472
"14",2010-01-14,"ANNEE 2010",4355.36818648894,28.10318
"15",2010-01-15,"ANNEE 2010",4013.28355032793,27.83081
"16",2010-01-16,"ANNEE 2010",4548.40628959523,27.64563
"17",2010-01-17,"ANNEE 2010",4768.38449327373,27.598175
"18",2010-01-18,"ANNEE 2010",4928.38273223315,26.83603
"19",2010-01-19,"ANNEE 2010",4977.0078367558,26.083618
"20",2010-01-20,"ANNEE 2010",5004.82078594013,25.776093
"21",2010-01-21,"ANNEE 2010",4664.46305923058,27.054108
"22",2010-01-22,"ANNEE 2010",4422.07573952431,27.370148
"23",2010-01-23,"ANNEE 2010",5295.01359357989,27.98233
"24",2010-01-24,"ANNEE 2010",5335.61945040504,28.25293
"25",2010-01-25,"ANNEE 2010",5164.05029186179,29.05481
"26",2010-01-26,"ANNEE 2010",5276.53268771866,29.420776
"27",2010-01-27,"ANNEE 2010",5309.07076176653,28.87265
"28",2010-01-28,"ANNEE 2010",4917.73319634124,29.10434
"29",2010-01-29,"ANNEE 2010",4558.67615591146,29.727356
"30",2010-01-30,"ANNEE 2010",5366.37973145008,29.616455
"31",2010-01-31,"ANNEE 2010",5371.13616926831,29.278015
"32",2010-02-01,"ANNEE 2010",5375.89260708655,28.673096
"33",2010-02-02,"ANNEE 2010",5466.66416580535,29.26712
"34",2010-02-03,"ANNEE 2010",5414.1820880881,28.963165
"35",2010-02-04,"ANNEE 2010",4985.88271094035,29.599121
"36",2010-02-05,"ANNEE 2010",4739.84273506886,29.403687
"37",2010-02-06,"ANNEE 2010",4657.67675912422,28.56897
"38",2010-02-07,"ANNEE 2010",5023.42616079628,28.053192
"39",2010-02-08,"ANNEE 2010",5060.439638894,27.813873
"40",2010-02-09,"ANNEE 2010",5066.31081789939,28.25528
"41",2010-02-10,"ANNEE 2010",5108.48936787411,29.091736
"42",2010-02-11,"ANNEE 2010",4661.16189098182,28.929657
"43",2010-02-12,"ANNEE 2010",4640.71688003731,29.634216
"44",2010-02-13,"ANNEE 2010",5015.00141033548,29.718811
"45",2010-02-14,"ANNEE 2010",5206.82535362346,29.66925
"46",2010-02-15,"ANNEE 2010",5417.91772358326,30.216064
"47",2010-02-16,"ANNEE 2010",5389.89497760247,30.880493
"48",2010-02-17,"ANNEE 2010",5420.55036024928,31.5094
"49",2010-02-18,"ANNEE 2010",4775.10033923203,31.655731
"50",2010-02-19,"ANNEE 2010",4463.93959430435,31.81131
"51",2010-02-20,"ANNEE 2010",5164.21859899328,31.81195
"52",2010-02-21,"ANNEE 2010",5077.69933952211,31.635803
"53",2010-02-22,"ANNEE 2010",5346.45764684899,31.255768
"54",2010-02-23,"ANNEE 2010",5303.24811784092,31.011353
"55",2010-02-24,"ANNEE 2010",5240.27698312457,31.61377
"56",2010-02-25,"ANNEE 2010",4932.09096889296,31.284332
"57",2010-02-26,"ANNEE 2010",4398.67322000883,31.508606
"58",2010-02-27,"ANNEE 2010",5338.28887979282,31.45752
"59",2010-02-28,"ANNEE 2010",5464.3610979875,31.347382
"60",2010-03-01,"ANNEE 2010",5523.08854451876,31.172089
"61",2010-03-02,"ANNEE 2010",5054.21618914828,31.618713
"62",2010-03-03,"ANNEE 2010",4614.66841585007,31.602356
"63",2010-03-04,"ANNEE 2010",4379.8055991571,31.435364
"64",2010-03-05,"ANNEE 2010",5016.4050135297,31.295502
"65",2010-03-06,"ANNEE 2010",5167.06494657509,31.23526
"66",2010-03-07,"ANNEE 2010",5199.13724042187,31.374298
"67",2010-03-08,"ANNEE 2010",5358.23366628607,31.962952
"68",2010-03-09,"ANNEE 2010",5447.31823957066,30.710266
"69",2010-03-10,"ANNEE 2010",4864.76420217848,30.51297
"70",2010-03-11,"ANNEE 2010",4537.40370013913,31.497803
"71",2010-03-12,"ANNEE 2010",5316.43165459156,31.484497
"72",2010-03-13,"ANNEE 2010",5452.32831232192,31.787231
"73",2010-03-14,"ANNEE 2010",5565.22403918077,31.856354
"74",2010-03-15,"ANNEE 2010",5459.16784445127,31.197296
"75",2010-03-16,"ANNEE 2010",6250,29.478973
"76",2010-03-17,"ANNEE 2010",4698.89243574206,29.795563
"77",2010-03-18,"ANNEE 2010",4804.46093120218,30.552979
"78",2010-03-19,"ANNEE 2010",5482.56253572808,30.599792
"79",2010-03-20,"ANNEE 2010",5578.0740929639,30.389923
"80",2010-03-21,"ANNEE 2010",5359.15504997798,29.544464
"81",2010-03-22,"ANNEE 2010",5406.51511113093,30.07663
"82",2010-03-23,"ANNEE 2010",5413.72805024502,30.347107
"83",2010-03-24,"ANNEE 2010",5179.17679745128,30.260193
"84",2010-03-25,"ANNEE 2010",4590.98955950939,30.43927
"85",2010-03-26,"ANNEE 2010",5259.01074109497,30.944183
"86",2010-03-27,"ANNEE 2010",5545.93134496906,30.890442
"87",2010-03-28,"ANNEE 2010",5057.74672479019,31.294159
"88",2010-03-29,"ANNEE 2010",5118.61441177487,31.588135
"89",2010-03-30,"ANNEE 2010",4982.07114153005,31.067047
"90",2010-03-31,"ANNEE 2010",4845.52787128522,31.18103
"91",2010-04-01,"ANNEE 2010",4659.77003014561,31.805511
"92",2010-04-02,"ANNEE 2010",4865.86172124055,32.00641
"93",2010-04-03,"ANNEE 2010",5208.05360427139,31.677979
"94",2010-04-04,"ANNEE 2010",5086.46696683683,31.954346
"95",2010-04-05,"ANNEE 2010",5178.16147489528,31.623535
"96",2010-04-06,"ANNEE 2010",5415.64362024851,30.396698
"97",2010-04-07,"ANNEE 2010",5415.64362024851,31.607788
"98",2010-04-08,"ANNEE 2010",4672.94808712917,32.150696
"99",2010-04-09,"ANNEE 2010",4554.24693846979,31.776672
"100",2010-04-10,"ANNEE 2010",5456.79119118989,30.681793
"101",2010-04-11,"ANNEE 2010",5494.30802503433,31.56372
"102",2010-04-12,"ANNEE 2010",5103.15677168948,31.827576
"103",2010-04-13,"ANNEE 2010",5354.19194665876,32.058624
"104",2010-04-14,"ANNEE 2010",5035.41041138208,31.559937
"105",2010-04-15,"ANNEE 2010",4716.62887610541,31.203796
"106",2010-04-16,"ANNEE 2010",5238.62835605986,30.545502
"107",2010-04-17,"ANNEE 2010",4812.98901441348,29.428741
"108",2010-04-18,"ANNEE 2010",5060.26585199544,31.47229
"109",2010-04-19,"ANNEE 2010",4937.04311267804,32.10965
"110",2010-04-20,"ANNEE 2010",5212.47186217891,31.436798
"111",2010-04-21,"ANNEE 2010",5006.93989014914,30.623108
"112",2010-04-22,"ANNEE 2010",4621.29658553522,30.351288
"113",2010-04-23,"ANNEE 2010",5176.42282308581,29.425476
"114",2010-04-24,"ANNEE 2010",5525.32507230787,27.331482
"115",2010-04-25,"ANNEE 2010",4808.58484733557,29.009705
"116",2010-04-26,"ANNEE 2010",5109.52974079387,29.71875
"117",2010-04-27,"ANNEE 2010",5029.94630078773,26.55429
"118",2010-04-28,"ANNEE 2010",4830.65578345263,28.722412
