"","Date","Year","Month","Day","Load","rsds","temp","Wday","RH","Time"
"1",2017-01-01,2017,"January",0,887.616666666667,231.8875,26.6916666666667,1,55.3108333333333,"0"
"2",2017-01-02,2017,"January",1,998.035416666667,228.833333333333,26.5041666666667,0,58.2875,"1"
"3",2017-01-03,2017,"January",2,1054.875,227.3,26.4041666666667,0,58.1629166666667,"2"
"4",2017-01-04,2017,"January",3,1057.925,235.095833333333,26.3208333333333,0,50.52375,"3"
"5",2017-01-05,2017,"January",4,1044.66666666667,229.583333333333,26.1916666666667,0,51.6245833333333,"4"
"6",2017-01-06,2017,"January",5,1049.32916666667,240.429166666667,26.5125,0,50.37,"5"
"7",2017-01-07,2017,"January",6,986.958333333333,231.279166666667,26.5458333333333,1,54.6745833333333,"6"
"8",2017-01-08,2017,"January",0,930.119583333333,218.579166666667,26.9458333333333,1,59.5808333333333,"0"
"9",2017-01-09,2017,"January",1,1055.26583333333,225.075,26.9166666666667,0,60.8245833333333,"1"
"10",2017-01-10,2017,"January",2,1067.86625,219.391666666667,26.4333333333333,0,60.4029166666667,"2"
"11",2017-01-11,2017,"January",3,1038.09166666667,221.475,26.5916666666667,0,56.6391666666667,"3"
"12",2017-01-12,2017,"January",4,1081.05833333333,206.933333333333,26.5583333333333,0,59.54875,"4"
"13",2017-01-13,2017,"January",5,1032.3875,210.454166666667,26.1625,0,53.5429166666667,"5"
"14",2017-01-14,2017,"January",6,929.816666666667,236.879166666667,25.6,1,43.2454166666667,"6"
"15",2017-01-15,2017,"January",0,890.316666666667,231.408333333333,26.0375,1,46.2375,"0"
"16",2017-01-16,2017,"January",1,1047.21708333333,234.779166666667,26.5875,0,55.3254166666667,"1"
"17",2017-01-17,2017,"January",2,1078.71166666667,230.579166666667,27.3375,0,60.8954166666667,"2"
"18",2017-01-18,2017,"January",3,1101.27208333333,214.6,28.2375,0,64.9175,"3"
"19",2017-01-19,2017,"January",4,1091.32291666667,215.75,28.4166666666667,0,71.1804166666667,"4"
"20",2017-01-20,2017,"January",5,1105.98833333333,209.366666666667,28.2833333333333,0,70.225,"5"
"21",2017-01-21,2017,"January",6,1024.74833333333,210.183333333333,27.9041666666667,1,66.2820833333333,"6"
"22",2017-01-22,2017,"January",0,954.35,213.8875,27.5041666666667,1,59.1516666666667,"0"
"23",2017-01-23,2017,"January",1,974,207.641666666667,26.2083333333333,0,56.72625,"1"
"24",2017-01-24,2017,"January",2,1034.2625,244.270833333333,26.4666666666667,0,51.7575,"2"
"25",2017-01-25,2017,"January",3,1047.94791666667,244.4375,26.7166666666667,0,51.1208333333333,"3"
"26",2017-01-26,2017,"January",4,1024.94166666667,244.158333333333,26.6625,0,53.1316666666667,"4"
"27",2017-01-27,2017,"January",5,1045.595,243.325,27.15,0,54.5129166666667,"5"
"28",2017-01-28,2017,"January",6,983.165416666667,246.766666666667,27.525,1,51.2195833333333,"6"
"29",2017-01-29,2017,"January",0,934.131666666667,241.766666666667,27.6083333333333,1,52.5141666666667,"0"
"30",2017-01-30,2017,"January",1,1053.02375,237.033333333333,27.7333333333333,0,54.5591666666667,"1"
"31",2017-01-31,2017,"January",2,1066.95583333333,229.8125,28.2625,0,58.9979166666667,"2"
"32",2017-02-01,2017,"February",3,1006.78958333333,205.170833333333,27.6791666666667,0,67.3016666666667,"3"
"33",2017-02-02,2017,"February",4,1064.4875,212.829166666667,27.6458333333333,0,66.8525,"4"
"34",2017-02-03,2017,"February",5,1074.13333333333,222.654166666667,28.1958333333333,0,56.6779166666667,"5"
"35",2017-02-04,2017,"February",6,1023.76666666667,222.904166666667,28.2125,1,55.2375,"6"
"36",2017-02-05,2017,"February",0,966.0325,226.716666666667,28.1,1,54.6291666666667,"0"
"37",2017-02-06,2017,"February",1,1100.54916666667,233.0125,28.1625,0,53.2445833333333,"1"
"38",2017-02-07,2017,"February",2,1114.95333333333,243.129166666667,28.2083333333333,0,48.5370833333333,"2"
"39",2017-02-08,2017,"February",3,1113.235,243.354166666667,28.2333333333333,0,49.9320833333333,"3"
"40",2017-02-09,2017,"February",4,1092.125,227.220833333333,28.1333333333333,0,56.72125,"4"
"41",2017-02-10,2017,"February",5,1093.3275,212.670833333333,28.3625,0,61.155,"5"
"42",2017-02-11,2017,"February",6,1027.9025,221.008333333333,28.7916666666667,1,64.7720833333333,"6"
"43",2017-02-12,2017,"February",0,984.041666666667,205.0625,28.4333333333333,1,69.68375,"0"
"44",2017-02-13,2017,"February",1,1048.62708333333,174.216666666667,27.2125,0,74.01125,"1"
"45",2017-02-14,2017,"February",2,1062.99041666667,239.4875,28.4833333333333,0,65.35625,"2"
"46",2017-02-15,2017,"February",3,1087.51458333333,248.875,28.8416666666667,0,60.015,"3"
"47",2017-02-16,2017,"February",4,1106.04833333333,232.583333333333,28.8916666666667,0,60.5591666666667,"4"
"48",2017-02-17,2017,"February",5,1099.625,209.8875,28.3375,0,60.9575,"5"
"49",2017-02-18,2017,"February",6,1029.5,228.204166666667,28.4541666666667,1,50.80125,"6"
"50",2017-02-19,2017,"February",0,947.23375,247.304166666667,28.375,1,54.4508333333333,"0"
"51",2017-02-20,2017,"February",1,1122.29666666667,239.779166666667,28.1375,0,59.385,"1"
"52",2017-02-21,2017,"February",2,1116.60041666667,244.129166666667,28.4083333333333,0,63.8208333333333,"2"
"53",2017-02-22,2017,"February",3,1112.44375,225.570833333333,28.8375,0,66.2833333333333,"3"
"54",2017-02-23,2017,"February",4,1103.43083333333,203.4375,28.4458333333333,0,67.73,"4"
"55",2017-02-24,2017,"February",5,1122.25,238.2375,29.1833333333333,0,65.5070833333333,"5"
"56",2017-02-25,2017,"February",6,1027.16958333333,204.308333333333,28.7208333333333,1,67.8541666666667,"6"
"57",2017-02-26,2017,"February",0,931.094583333333,203.770833333333,28.2625,1,70.63875,"0"
"58",2017-02-27,2017,"February",1,1059.9075,173.008333333333,27.975,0,70.2704166666667,"1"
"59",2017-02-28,2017,"February",2,1086.86958333333,265.870833333333,29.2208333333333,0,62.3566666666667,"2"
"60",2017-03-01,2017,"March",3,1094.6375,236.158333333333,29.0583333333333,0,64.02125,"3"
"61",2017-03-02,2017,"March",4,1101.74083333333,223.8,28.9541666666667,0,67.5258333333333,"4"
"62",2017-03-03,2017,"March",5,1115.0625,228.995833333333,29.1291666666667,0,67.0145833333333,"5"
"63",2017-03-04,2017,"March",6,1040.46166666667,220.3125,28.6666666666667,1,69.3491666666667,"6"
"64",2017-03-05,2017,"March",0,980.537083333333,224.954166666667,28.8208333333333,1,66.4183333333333,"0"
"65",2017-03-06,2017,"March",1,1114.20666666667,217.691666666667,28.675,0,68.9725,"1"
"66",2017-03-07,2017,"March",2,1123.02458333333,223.679166666667,28.6333333333333,0,66.32625,"2"
"67",2017-03-08,2017,"March",3,1143.20041666667,268.995833333333,29.2,0,59.6841666666667,"3"
"68",2017-03-09,2017,"March",4,1109.1,257.870833333333,29.2958333333333,0,59.2308333333333,"4"
"69",2017-03-10,2017,"March",5,1142.73333333333,241.358333333333,29.2875,0,65.0391666666667,"5"
"70",2017-03-11,2017,"March",6,1032.18166666667,229.033333333333,29.1625,1,67.53625,"6"
"71",2017-03-12,2017,"March",0,950.804166666667,216.720833333333,27.7166666666667,1,72.5033333333333,"0"
"72",2017-03-13,2017,"March",1,1076.75541666667,228.566666666667,28.8958333333333,0,68.6916666666667,"1"
"73",2017-03-14,2017,"March",2,1096.98041666667,236.866666666667,29.1208333333333,0,68.37,"2"
"74",2017-03-15,2017,"March",3,1120.26583333333,247.833333333333,28.6791666666667,0,69.2533333333333,"3"
"75",2017-03-16,2017,"March",4,1099.99125,251.329166666667,28.9041666666667,0,67.2966666666667,"4"
"76",2017-03-17,2017,"March",5,1129.37958333333,253.570833333333,29.4125,0,66.64125,"5"
"77",2017-03-18,2017,"March",6,1048.33583333333,244.1875,29.3291666666667,1,68.88,"6"
"78",2017-03-19,2017,"March",0,973.164166666667,257.616666666667,28.8833333333333,1,68.8645833333333,"0"
"79",2017-03-20,2017,"March",1,1098.70291666667,196.8875,27.1916666666667,0,73.2816666666667,"1"
