"","Date","Year","Month","Load","rsds","temp","wspd","Wday","RH"
"1",2017-01-01,2017,1,1226.038752,228.333333333333,23.2,4.1,1,21.4
"2",2017-01-02,2017,1,1286.396832,227.416666666667,22.7,4,0,19.3
"3",2017-01-03,2017,1,1290.2,229.625,23.6,4,0,18.7
"4",2017-01-04,2017,1,1301.11176,228.583333333333,23.9,3.4,0,20
"5",2017-01-05,2017,1,1308.9,229.666666666667,24,3.2,0,18
"6",2017-01-06,2017,1,1315.2,230.083333333333,24.5,3.2,0,17.5
"7",2017-01-07,2017,1,1312.3,228.375,25.6,3.7,1,15.9
"8",2017-01-08,2017,1,1267,233.375,25.1,3.3,1,12.9
"9",2017-01-09,2017,1,1304.27056,235.916666666667,24.4,3.3,0,13.3
"10",2017-01-10,2017,1,1372.4,231.208333333333,23.4,2.1,0,14.3
"11",2017-01-11,2017,1,1398.7,218.25,23.7,1.5,0,15.9
"12",2017-01-12,2017,1,1448.9,235.5,23.6,3.1,0,9.8
"13",2017-01-13,2017,1,1474,233,22.2,4.7,0,14.4
"14",2017-01-14,2017,1,1375.9,238.958333333333,22.1,3.7,1,13.9
"15",2017-01-15,2017,1,1094.725856,237.625,23.3,2.7,1,13.9
"16",2017-01-16,2017,1,1265.510968,229.541666666667,25,1.9,0,13.4
"17",2017-01-17,2017,1,1296.8168,225.25,26.7,3,0,9.2
"18",2017-01-18,2017,1,1291.925128,230.333333333333,27,2.6,0,9.6
"19",2017-01-19,2017,1,1370.6,208.208333333333,27.4,2.6,0,11.3
"20",2017-01-20,2017,1,1371.92644,222.75,28.5,3.9,0,13.1
"21",2017-01-21,2017,1,1402.1,214.125,28.9,1.9,1,17.6
"22",2017-01-22,2017,1,1398.9056,229.5,28.1,4.1,1,13
"23",2017-01-23,2017,1,1469.062272,233.916666666667,25.4,3.8,0,10.7
"24",2017-01-24,2017,1,1391.4,228.083333333333,23.8,3.1,0,11.4
"25",2017-01-25,2017,1,1379.7984,241.166666666667,24.5,3.4,0,7.8
"26",2017-01-26,2017,1,1378,241.75,25.9,3,0,9.7
"27",2017-01-27,2017,1,1412.2348,243.416666666667,26.4,3.1,0,10.8
"28",2017-01-28,2017,1,1357.84576,251,26.7,4.1,1,9.8
"29",2017-01-29,2017,1,1300.536936,253.791666666667,26.1,4.1,1,9.3
"30",2017-01-30,2017,1,1423.950512,255.208333333333,26.4,3.7,0,9.9
"31",2017-01-31,2017,1,1448.312784,253.166666666667,27.3,3.3,0,10.7
"32",2017-02-01,2017,2,1443.417976,252.875,27.1,3.8,0,11.6
"33",2017-02-02,2017,2,1491.14112,244.583333333333,28.5,2.7,0,12.7
"34",2017-02-03,2017,2,1496.1,248,28.1,2.8,0,12.3
"35",2017-02-04,2017,2,1406.013376,243.625,28.1,3.5,1,10.8
"36",2017-02-05,2017,2,1408.9,252.916666666667,27.9,4.6,1,9.4
"37",2017-02-06,2017,2,1549.001736,254.458333333333,27.4,4.3,0,10.7
"38",2017-02-07,2017,2,1526.4,259.333333333333,26.8,4,0,9.8
"39",2017-02-08,2017,2,1502,260.208333333333,26.8,3.3,0,9
"40",2017-02-09,2017,2,1564.1,244.375,27.8,3.4,0,8.4
"41",2017-02-10,2017,2,1553.36464,258.916666666667,27.3,3.5,0,9.6
"42",2017-02-11,2017,2,1475.7,251,27.5,3.1,1,10.3
"43",2017-02-12,2017,2,1433.04404,255.791666666667,27.8,3.9,1,8.3
"44",2017-02-13,2017,2,1589.354536,213.958333333333,29.4,4.8,0,7.8
"45",2017-02-14,2017,2,1689.103472,263,29.1,4.1,0,8.4
"46",2017-02-15,2017,2,1658.9,268.916666666667,28.3,4.9,0,7.4
"47",2017-02-16,2017,2,1642.296288,273.375,28.2,5.9,0,8.8
"48",2017-02-17,2017,2,1552.094944,275.625,26.8,5.7,0,8.9
"49",2017-02-18,2017,2,1436.660536,277.625,25.6,5.4,1,9.1
"50",2017-02-19,2017,2,1365.947512,278.041666666667,25.3,4.2,1,9.6
"51",2017-02-20,2017,2,1519.89116,275,26.2,4.4,0,8.7
"52",2017-02-21,2017,2,1574.20276,276.041666666667,27.6,3.9,0,8
"53",2017-02-22,2017,2,1580.482376,275.875,28.4,4.4,0,8.2
"54",2017-02-23,2017,2,1710.25272,278,30,4,0,8.2
"55",2017-02-24,2017,2,1705.9,278.791666666667,30.5,3.9,0,9.1
"56",2017-02-25,2017,2,1644.01168,281.458333333333,30.4,4,1,9.1
"57",2017-02-26,2017,2,1598.614832,283.458333333333,29.9,3.9,1,8.1
"58",2017-02-27,2017,2,1792.981448,282.625,29.9,3.2,0,7.3
"59",2017-02-28,2017,2,1797.541976,279.375,30.1,2.8,0,8.6
"60",2017-03-01,2017,3,1873.406312,283.25,31.6,2.8,0,9.6
"61",2017-03-02,2017,3,1935.627032,285.208333333333,31.1,2.9,0,12.5
"62",2017-03-03,2017,3,2046.911672,287.208333333333,32.7,2.7,0,10.6
"63",2017-03-04,2017,3,1918.6,289.666666666667,31.9,2.7,1,7.9
"64",2017-03-05,2017,3,1790.762496,289.833333333333,31.4,3.4,1,5.6
"65",2017-03-06,2017,3,2031.791056,292.041666666667,31.3,4.2,0,8.3
"66",2017-03-07,2017,3,2032.11892,296.541666666667,30.7,3.7,0,7.2
"67",2017-03-08,2017,3,1998.725008,295.708333333333,30.9,3.3,0,7.3
"68",2017-03-09,2017,3,2000.841176,297.375,31.6,3.4,0,7.3
"69",2017-03-10,2017,3,1985.542856,303.625,30.7,4.2,0,8.7
"70",2017-03-11,2017,3,1828.32184,305.583333333333,31.4,3.4,1,7.7
"71",2017-03-12,2017,3,1753.720976,304.166666666667,29.6,3.3,1,6.5
"72",2017-03-13,2017,3,1964.240048,298.916666666667,30.2,3.5,0,5.7
"73",2017-03-14,2017,3,1937.082128,289.5,31.1,3,0,6.5
"74",2017-03-15,2017,3,2042.925784,307.916666666667,31.7,3,0,6.6
"75",2017-03-16,2017,3,2124.51032,307.125,32.1,2.7,0,6.4
"76",2017-03-17,2017,3,2130.243208,304.208333333333,32.7,2.4,0,6.7
"77",2017-03-18,2017,3,1979.701256,300.958333333333,33.2,2.7,1,10.1
"78",2017-03-19,2017,3,1892.855864,301.166666666667,33.6,4.2,1,10.2
"79",2017-03-20,2017,3,2227.743304,301.125,33.7,3.9,0,9.2
"80",2017-03-21,2017,3,2243.763992,303.625,34.1,1.9,0,10.8
"81",2017-03-22,2017,3,1915.556496,300.833333333333,34.1,2.7,0,11.8
"82",2017-03-23,2017,3,2233.527336,304.208333333333,33.8,1.9,0,11.4
"83",2017-03-24,2017,3,2200.27128,303.666666666667,34.5,3.5,0,10
"84",2017-03-25,2017,3,2146.379624,307,35.4,5,1,8.9
"85",2017-03-26,2017,3,2286.710264,313.125,35.6,3.7,1,8.4
"86",2017-03-27,2017,3,2355.634528,315.875,34.7,3.6,0,8.6
"87",2017-03-28,2017,3,2361.29992,314.958333333333,34.3,4,0,7.6
"88",2017-03-29,2017,3,2209.213816,310.791666666667,33.4,3.3,0,7.7
"89",2017-03-30,2017,3,2047.671768,311.708333333333,33.8,3,0,8.3
"90",2017-03-31,2017,3,2326.1,312.958333333333,34.8,3,0,8.4
"91",2017-04-01,2017,4,2187.656968,315.125,34.3,2.8,1,11.6
"92",2017-04-02,2017,4,2194.778608,311.958333333333,34.8,3.3,1,13.9
"93",2017-04-03,2017,4,2367.104536,317.666666666667,35.3,2.8,0,10.1
"94",2017-04-04,2017,4,2414.155008,314.75,35.2,1.5,0,12.8
"95",2017-04-05,2017,4,2455.745328,278.75,35.2,2.1,0,14.1
"96",2017-04-06,2017,4,2490.562584,292.291666666667,36,2.6,0,10
"97",2017-04-07,2017,4,2353.28104,278.666666666667,32.3,4.9,0,33.7
"98",2017-04-08,2017,4,2212.2,230.333333333333,34,2.9,1,23.7
"99",2017-04-09,2017,4,2209.443768,269,35.9,3.5,1,14.7
"100",2017-04-10,2017,4,2451.101792,308.208333333333,36.2,5.8,0,7.1
"101",2017-04-11,2017,4,2505.85872,317.333333333333,35.6,3.4,0,6.8
"102",2017-04-12,2017,4,2376.204792,320.791666666667,34.2,3.1,0,5.9
"103",2017-04-13,2017,4,2332.029672,321.208333333333,33.3,2.5,0,7.7
"104",2017-04-14,2017,4,2299.2,318.5,33.6,2.1,0,10.9
"105",2017-04-15,2017,4,2175.212128,315.041666666667,33.9,4.4,1,13.3
