time,cooling_degree_days
1971-01-01,1073.962
1972-01-01,1177.8798
1973-01-01,1224.8579
1974-01-01,1043.2618
1975-01-01,1029.6825
1976-01-01,1050.2969
1977-01-01,1113.7964
1978-01-01,1108.5298
1979-01-01,1167.8252
1980-01-01,1219.6859
1981-01-01,1186.6222
1982-01-01,1126.5778
1983-01-01,1274.4095
1984-01-01,1181.9186
1985-01-01,1119.0226
1986-01-01,1187.4954
1987-01-01,1347.5134
1988-01-01,1269.6821
1989-01-01,1189.952
1990-01-01,1298.1604
1991-01-01,1218.9906
1992-01-01,1108.5184
1993-01-01,1250.7938
1994-01-01,1186.7058
1995-01-01,1276.905
1996-01-01,1241.0562
1997-01-01,1249.4178
1998-01-01,1394.8342
1999-01-01,1264.5768
2000-01-01,1220.146
