,Country,CDDP_Obs,CDDP_1.5,CDDP_2.0,CDDP_2.5,CDDP_3.0
0,Chad,10304.512,20286.722797805112,27636.23494154698,33803.91777696297,38658.62972420897
0,Sierra Leone,61931.098,156903.62579655004,223896.7988599304,284579.1452773781,334067.17942039034
0,Guinea,20065.342,41904.815873626605,52305.51859440129,60225.99513494568,65809.85974484446
0,Central African Rep.,2940.8203,6931.0413699657165,9559.624789388587,11965.921519801626,13862.67392736118
0,Nigeria,145859.39,316821.837647571,461933.3204577131,604198.5945290682,735073.0115158386
0,Benin,44322.45,91226.62622024486,126012.0395354101,155443.0522641477,178469.0997515626
0,Gabon,175.2554,773.6918312087448,1291.966640880959,1890.606017892629,2435.7828297785136
0,Ghana,78018.83,147270.1052124737,189958.23347268574,225764.9067461829,252384.07829348036
0,Côte d'Ivoire,31129.602,59647.34877893533,73406.48349217552,84178.04746981934,91530.82901687827
0,Algeria,611.3701,915.3699274663351,1058.7084548914765,1151.5547808874474,1196.5853853352967
0,Mauritania,4669.296,7937.985395287169,10081.47976392141,11659.921916687386,12840.287096368776
0,Senegal,88175.734,166311.5242913063,215311.3318029313,250814.84290555728,276941.8691194923
0,Guinea-Bissau,37197.582,62469.4901199883,78604.46405162777,91485.14071511045,101265.6965044736
0,Cameroon,17107.758,35379.02983172496,48760.66118249465,61976.187459362416,73576.42598631555
0,Eq. Guinea,8217.765,21990.126346691723,33440.36246905438,45795.90796090494,57088.66038923552
0,Gambia,119411.695,211259.47721070162,264878.849245106,300287.168909592,323361.09867312823
0,Togo,129215.16,238678.59968628685,308613.76292197156,365575.40422529913,406301.3868497639
0,Burkina Faso,72939.336,144251.82543946718,195269.6895917899,237147.64611820798,271859.69904048677
0,Congo,277.9815,977.3795153780386,1544.2522334889586,2124.0604496550536,2635.730960969793
0,Libya,368.45554,618.4411457661005,760.3074739997456,874.1669780246699,949.3525110435743
0,Liberia,12062.053,42725.18623041061,68819.69851273805,94038.05694162409,115228.32122398168
0,Morocco,1037.8014,1884.6571515481057,2191.7924125660516,2375.249240521667,2504.260679298411
0,Mali,25501.81,51557.04348258525,70611.3352862884,87134.27688468267,101057.00766697903
0,Niger,19879.396,42801.3377433029,63180.74060087386,81599.15989631825,97244.90577515686
0,W. Sahara,505.63965,748.1798792793251,819.3131393719509,843.7785194433741,843.3520184783089
